building_type,floor_area_m2,glazing_ratio,orientation,climate_zone,occupancy,insulation_score,hvac_type,operating_hours_per_week,energy_use_kwh_m2_year
office,5082,0.4,E,temperate,333,0.65,vav,46,183.43
office,17065,0.24,W,temperate,1734,0.67,heat-pump,119,297.52
school,38065,0.52,N,temperate,436,0.91,chilled-water,66,265.94
residential,16519,0.27,E,hot-dry,337,0.36,heat-pump,92,284.52
retail,5464,0.55,N,temperate,1113,0.8,heat-pump,120,300.11
healthcare,15533,0.53,E,tropical,1118,0.83,vav,49,267.91
retail,8949,0.43,N,hot-dry,1275,0.74,heat-pump,74,251.24
healthcare,3412,0.66,N,tropical,1350,0.67,vav,43,289.59
school,38564,0.2,W,cold,747,0.58,vav,96,324.86
retail,6779,0.43,W,temperate,1702,0.48,chilled-water,53,225.4
healthcare,3204,0.43,W,hot-dry,1318,0.43,split,54,288.75
retail,4352,0.28,E,hot-dry,1511,0.69,split,103,326.94
retail,32566,0.25,N,tropical,1010,0.75,heat-pump,79,323.79
residential,8235,0.43,W,hot-dry,511,0.7,chilled-water,59,220.25
retail,16773,0.43,E,temperate,622,0.52,split,116,314.07
retail,23074,0.68,W,cold,2109,0.44,chilled-water,40,331.11
residential,30064,0.47,E,hot-dry,1443,0.48,heat-pump,109,361.66
residential,16450,0.49,W,tropical,986,0.85,chilled-water,92,299.4
retail,44295,0.61,N,temperate,653,0.6,chilled-water,44,249.05
retail,7334,0.46,E,hot-dry,1901,0.26,vav,58,340.61
school,41645,0.55,W,hot-dry,358,0.85,chilled-water,108,369.49
healthcare,3152,0.51,N,temperate,991,0.69,split,76,241.46
retail,11702,0.55,E,cold,148,0.28,chilled-water,47,238.49
retail,10340,0.31,S,temperate,1717,0.65,vav,63,282.97
retail,39017,0.26,W,cold,1918,0.7,split,98,402.32
school,36621,0.27,E,cold,1839,0.91,heat-pump,115,359.71
residential,26011,0.64,E,cold,466,0.42,chilled-water,113,334.41
office,43937,0.39,E,hot-dry,63,0.65,chilled-water,46,276.71
residential,42521,0.28,E,tropical,1056,0.72,split,57,308.11
retail,2986,0.49,E,cold,568,0.31,heat-pump,77,262.8
healthcare,33685,0.67,N,cold,703,0.43,chilled-water,101,372.32
retail,5734,0.26,N,cold,954,0.85,split,90,267.59
retail,24955,0.54,W,tropical,1103,0.66,vav,87,332.58
office,41402,0.66,E,temperate,2329,0.48,split,118,431.78
retail,8446,0.26,S,tropical,182,0.46,split,103,275.16
healthcare,9690,0.39,W,hot-dry,1549,0.72,vav,109,355.62
healthcare,27546,0.69,W,temperate,1175,0.27,heat-pump,87,316.13
residential,24568,0.23,W,tropical,1534,0.63,heat-pump,85,309.08
office,44235,0.29,S,temperate,117,0.29,vav,82,350.54
office,37120,0.29,E,cold,914,0.82,vav,69,302.64
residential,9319,0.47,E,temperate,744,0.33,split,43,206.45
residential,39391,0.35,E,hot-dry,743,0.44,split,56,325.43
healthcare,39706,0.24,W,tropical,2093,0.41,chilled-water,118,402.53
office,4786,0.72,S,hot-dry,1675,0.55,heat-pump,53,293.0
office,9070,0.33,W,cold,2276,0.75,heat-pump,88,311.2
office,8298,0.64,W,hot-dry,2288,0.75,heat-pump,67,329.1
retail,28062,0.57,W,cold,1310,0.55,vav,72,319.13
office,6778,0.63,E,temperate,411,0.55,split,87,245.66
office,27722,0.37,E,cold,1762,0.86,chilled-water,46,265.7
office,38674,0.45,E,tropical,663,0.71,chilled-water,68,319.22
healthcare,15621,0.62,N,tropical,2327,0.93,chilled-water,119,368.75
residential,18709,0.56,W,tropical,1295,0.9,vav,84,330.28
office,10097,0.58,W,temperate,155,0.31,heat-pump,107,259.75
retail,23140,0.27,N,tropical,1306,0.76,split,112,370.89
office,18632,0.42,S,hot-dry,1766,0.59,chilled-water,96,374.07
healthcare,8259,0.37,N,hot-dry,484,0.45,chilled-water,115,327.67
office,14197,0.34,N,cold,895,0.79,chilled-water,72,258.23
office,33396,0.58,N,temperate,749,0.34,chilled-water,108,379.87
retail,2028,0.43,W,hot-dry,348,0.85,heat-pump,113,284.71
school,8348,0.4,S,hot-dry,1360,0.37,chilled-water,119,382.08
retail,39392,0.4,E,cold,352,0.53,vav,79,335.82
residential,5805,0.46,S,cold,497,0.62,chilled-water,64,226.11
residential,7537,0.26,W,tropical,838,0.37,vav,59,220.63
retail,37744,0.59,W,cold,1868,0.73,chilled-water,112,407.54
school,18801,0.5,N,hot-dry,1471,0.61,heat-pump,79,324.84
office,24965,0.63,N,hot-dry,344,0.7,heat-pump,51,223.9
retail,38264,0.53,W,temperate,1346,0.67,split,104,346.13
office,23307,0.71,S,tropical,375,0.6,vav,62,277.72
school,25235,0.68,N,tropical,1616,0.54,chilled-water,83,306.6
school,6993,0.48,E,temperate,1613,0.45,chilled-water,117,345.81
school,43795,0.56,E,cold,1635,0.34,heat-pump,50,361.45
residential,44716,0.56,S,cold,2186,0.32,split,94,436.09
school,32668,0.28,E,tropical,593,0.36,split,77,337.48
healthcare,9388,0.5,S,temperate,661,0.36,heat-pump,119,315.4
retail,40815,0.33,S,cold,1868,0.41,heat-pump,70,358.86
school,38183,0.71,S,hot-dry,1921,0.79,vav,88,413.07
school,4219,0.53,N,tropical,1550,0.64,chilled-water,53,233.71
residential,18677,0.42,N,tropical,2132,0.35,vav,95,392.19
retail,4290,0.39,N,cold,1561,0.42,vav,50,226.02
school,7293,0.63,S,tropical,1403,0.8,chilled-water,57,285.13
retail,30199,0.51,N,temperate,354,0.26,heat-pump,67,263.51
school,16373,0.34,N,hot-dry,225,0.42,split,119,367.77
healthcare,38486,0.31,W,cold,618,0.45,vav,40,301.24
residential,44340,0.54,W,tropical,2174,0.93,heat-pump,48,343.86
school,17423,0.58,E,temperate,1492,0.8,split,84,299.79
residential,3705,0.37,N,hot-dry,1416,0.82,heat-pump,62,223.66
retail,3223,0.34,W,cold,209,0.8,chilled-water,45,150.03
healthcare,31824,0.32,W,cold,812,0.45,chilled-water,46,283.79
retail,26139,0.36,N,cold,795,0.6,chilled-water,103,334.78
retail,5972,0.41,W,tropical,769,0.63,split,81,273.84
healthcare,28725,0.27,E,cold,1848,0.5,heat-pump,45,303.37
office,5717,0.54,W,tropical,1693,0.5,vav,60,309.82
office,9072,0.22,W,tropical,1530,0.5,vav,112,312.38
school,25180,0.42,N,cold,344,0.65,heat-pump,107,301.56
office,12992,0.45,W,cold,1615,0.89,chilled-water,55,271.33
residential,40899,0.33,N,tropical,2041,0.39,heat-pump,57,367.23
school,44567,0.37,S,cold,295,0.63,vav,77,341.01
school,34141,0.3,W,hot-dry,853,0.8,split,70,297.68
healthcare,9304,0.51,W,hot-dry,383,0.3,heat-pump,90,311.22
healthcare,5633,0.25,S,hot-dry,1328,0.7,chilled-water,97,314.06
residential,29152,0.45,S,temperate,256,0.83,chilled-water,106,307.63
residential,21945,0.68,E,cold,953,0.49,split,106,368.36
residential,41761,0.34,E,temperate,2215,0.32,vav,61,374.68
healthcare,3499,0.63,N,cold,146,0.31,vav,113,310.01
retail,41901,0.47,N,cold,1267,0.59,heat-pump,91,342.16
office,11159,0.42,E,temperate,2013,0.58,chilled-water,83,302.89
retail,9369,0.59,N,temperate,2139,0.64,heat-pump,80,282.81
school,30264,0.31,E,hot-dry,426,0.29,vav,89,369.37
healthcare,21294,0.28,E,hot-dry,682,0.6,heat-pump,105,303.6
retail,2318,0.23,W,temperate,1640,0.6,chilled-water,70,245.55
school,35972,0.18,E,cold,470,0.55,heat-pump,73,285.11
office,27052,0.21,E,cold,2331,0.39,split,110,388.48
healthcare,40845,0.24,S,cold,426,0.53,vav,83,329.23
healthcare,34165,0.4,S,cold,194,0.28,heat-pump,57,268.77
school,40978,0.35,E,cold,1639,0.94,heat-pump,78,327.18
retail,1890,0.38,S,cold,478,0.94,split,114,263.37
office,39041,0.44,S,hot-dry,2177,0.69,vav,119,425.72
office,38323,0.69,W,cold,480,0.38,heat-pump,96,375.43
healthcare,40873,0.68,W,temperate,285,0.74,chilled-water,106,351.63
healthcare,25495,0.35,E,cold,739,0.57,chilled-water,108,310.05
healthcare,32531,0.28,E,temperate,1039,0.45,chilled-water,78,260.09
